TargetFile,Key,SourceEnglish,ProposedMalay,Status,Note
lang\ms_MY\members.lang,AddSubscription,Create contribution,Cipta caruman,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ADHERENT_PRODUCT_ID_FOR_SUBSCRIPTIONS,Product used for membership line into invoice: %s,Produk yang digunakan untuk baris keanggotaan dalam invois: %s,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,AmountIsLowerToMinimumNotice,The amount is lower than the minimum %s,Jumlah lebih rendah daripada minimum %s,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,AmountOfSubscriptions,Amount collected from membership payments,Jumlah dikutip daripada bayaran caruman anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,AnyAmountWithAdvisedAmount,"Any amount of your choice, recommended %s","Sebarang jumlah pilihan anda, disyorkan %s",ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,AnyAmountWithoutAdvisedAmount,Any amount of your choice,Sebarang jumlah pilihan anda,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,AreYouAPreferredPartner,Are you (or plan to be) a %s,Adakah anda (atau bercadang untuk menjadi) %s,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,BlankSubscriptionForm,Public self-registration form,Borang pendaftaran kendiri awam,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,BlankSubscriptionFormDesc,"Dolibarr can provide you a public URL/website to allow external visitors to ask to subscribe to the foundation. If an online payment module is enabled, a payment form may also be automatically provided.","Dolibarr boleh menyediakan URL/laman web awam untuk membolehkan pelawat luar memohon untuk melanggan yayasan. Jika modul bayaran dalam talian diaktifkan, borang bayaran juga boleh disediakan secara automatik.",ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ByProperties,By nature,Mengikut sifat,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CanEditAmount,Membership amount can be defined by the member,Jumlah keanggotaan boleh ditentukan oleh anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CanEditAmountDetail,Visitor can choose/edit amount of its contribution regardless of the member type,Pelawat boleh memilih/mengubah jumlah sumbangannya tanpa mengira jenis anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CanEditAmountShort,Any amount,Sebarang jumlah,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CanEditAmountShortForValues,"recommended, any amount","disyorkan, sebarang jumlah",ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CardContent,Content of your member card,Kandungan kad anggota anda,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmCreateMember,Confirm create member,Sahkan cipta anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmDeleteMember,Are you sure you want to delete this member (Deleting a member will delete all his contributions)?,Adakah anda pasti mahu menghapuskan anggota ini (Menghapuskan anggota akan menghapuskan semua carumannya)?,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmDeleteMemberType,Are you sure you want to delete this member type?,Adakah anda pasti mahu menghapuskan jenis anggota ini?,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmDeleteSubscription,Are you sure you want to delete this contribution?,Adakah anda pasti mahu menghapuskan caruman ini?,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmExcludeMember,Are you sure you want to exclude this member ?,Adakah anda pasti mahu mengecualikan anggota ini?,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmMassSubsriptionCreation,Confirm subscription creation,Sahkan penciptaan caruman,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmMassSubsriptionCreationQuestion,Are you sure you want to create the %s selected subscription(s)?,Adakah anda pasti mahu mencipta %s caruman yang dipilih?,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmMergeMembers,Are you sure you want to merge the chosen member with the current one ?,Adakah anda pasti mahu menggabungkan anggota yang dipilih dengan anggota semasa?,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmResiliateMember,Are you sure you want to terminate this member?,Adakah anda pasti mahu menamatkan anggota ini?,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,ConfirmValidateMember,Are you sure you want to validate this member?,Adakah anda pasti mahu mengesahkan anggota ini?,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CorrespondingMemberFound,Corresponding member found,Anggota sepadan ditemui,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CorrespondingMemberFoundQuestion,A member has been found with the given information.<br>Do you want to renew your membership? (if not nothing will be recorded),"Seorang anggota telah ditemui dengan maklumat yang diberikan.<br>Adakah anda mahu memperbaharui keanggotaan anda? (jika tidak, tiada apa-apa akan direkodkan)",ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CreateDolibarrLoginDesc,"The creation of a user login for members allows them to connect to the application. Depending on the authorizations granted, they will be able, for example, to consult or modify their file themselves.","Penciptaan log masuk pengguna untuk anggota membolehkan mereka menyambung ke aplikasi. Bergantung pada kebenaran yang diberikan, mereka boleh, contohnya, menyemak atau mengubah fail mereka sendiri.",ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CreateDolibarrThirdPartyDesc,A third party is the legal entity that will be used on the invoice if you decide to generate invoice for each contribution. You will be able to create it later during the process of recording the contribution.,Pihak Ketiga ialah entiti sah yang akan digunakan pada invois jika anda memutuskan untuk menjana invois bagi setiap caruman. Anda boleh menciptanya kemudian semasa proses merekodkan caruman.,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,CreateSubscription,Create subscription,Cipta caruman,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DefaultAmount,Default amount of membership payment (used only if no amount is defined at member type level),Jumlah lalai bayaran caruman anggota (digunakan hanya jika tiada jumlah ditakrifkan pada peringkat jenis anggota),ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DeleteAMemberType,Delete a member type,Hapus jenis anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DeleteSubscription,Delete a subscription,Hapus caruman,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DeleteType,Delete,Hapus,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_AUTOREGISTER_NOTIF_MAIL,Content of the notification email received in case of auto-inscription of a guest,Kandungan e-mel pemberitahuan yang diterima sekiranya pendaftaran automatik tetamu,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_AUTOREGISTER_NOTIF_MAIL_SUBJECT,Subject of the notification email received in case of auto-inscription of a guest,Subjek e-mel pemberitahuan yang diterima sekiranya pendaftaran automatik tetamu,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_CARD_FOOTER_TEXT,Text printed on bottom of member cards,Teks yang dicetak di bahagian bawah kad anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_CARD_HEADER_TEXT,Text printed on top of member cards,Teks yang dicetak di bahagian atas kad anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_CARD_TEXT,Text printed on member cards (align on left),Teks yang dicetak pada kad anggota (jajar kiri),ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_CARD_TEXT_RIGHT,Text printed on member cards (align on right),Teks yang dicetak pada kad anggota (jajar kanan),ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_CARD_TYPE,Format of cards page,Format halaman kad,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_CC_MAIL_FROM,Send automatic email copy to,Hantar salinan e-mel automatik kepada,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_EMAIL_TEMPLATE_AUTOREGISTER,Email template to use to send email to a member on member auto-registration,Templat e-mel untuk menghantar e-mel kepada anggota semasa pendaftaran automatik anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
lang\ms_MY\members.lang,DescADHERENT_EMAIL_TEMPLATE_CANCELATION,Email template to use to send email to a member on member cancellation,Templat e-mel untuk menghantar e-mel kepada anggota semasa pembatalan anggota,ready,Sprint 22B-2 stocks.lang + members.lang bulk batch 5B
