"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\accountancy.lang","AccountingCategory","Custom group of accounts","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\accountancy.lang","AccountingJournal","Accounting journal","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\accountancy.lang","AccountingJournals","Accounting journals","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\accountancy.lang","CategoryDeleted","Category for the accounting account has been removed","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\accountancy.lang","CustomerInvoicePayment","Payment of invoice customer","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\accountancy.lang","ImportAccountingEntries","Accounting entries","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\accountancy.lang","PrintDate"," Print date","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","ApiKey","Token for API","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","Buy","Buy","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","CashDesk","Point of Sale","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","Content","Content","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","CurrentVersion","Dolibarr current version","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","Database","Database","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","Destination","Destination","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","DictionaryAccountancyCategory","Personalized groups for reports","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","DictionaryAccountancyJournal","Accounting journals","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","DictionaryAccountancyReport","Personalized accounting reports","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","DictionaryAccountancysystem","Models for chart of accounts","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\admin.lang","DictionaryActions","Types of agenda events","","needs_translation","Direct en_US vs ms_MY gap"
